ticker,Millions USD
AAPL,790050.0981
GOOGL,729439.0252
AMZN,566023.48
MSFT,531312.44
FB,512792.76
BRK.B,489242.6381
BRK.B,489242.6381
JNJ,374802.393
JPM,366301.582
JPM,366301.582
XOM,354549.96
WMT,314683.2
BAC,303681.155
BAC,303681.155
WFC,296774.4034
WFC,296774.4034
V,239298.2375
V,239298.2375
T,238700.844
CVX,238449.6434
HD,232642.2
PG,222519.8336
PFE,216559.38
INTC,216351.92
VZ,215926.6647
UNH,213625.74
UNH,213625.74
WMT,203423.52
KO,195402.92
C,191226.9287
C,191226.9287
ORCL,187778.43
CMCSA,186012.5454
BA,174303.3115
PEP,170286.4
DWDP,165752.585
HD,165508.74
PM,164097.4817
MA,159533.44
MA,159533.44
CSCO,156715.35
ABBV,153974.989
MRK,151738.3572
GE,151475.964
NVDA,148954.8
DIS,147855
RY,146517.2055
RY,146517.2055
IBM,141480.7022
MMM,140017.8471
MCD,136680.492
MO,135768.9052
TD,134916.264
TD,134916.264
AMGN,125590.58
HON,115158.024
MDT,113785.5233
AVGO,107868.4621
UNP,104721.1038
TXN,102681.126
UPS,102661.4273
UTX,101945.0141
BMY,100070.24
BNS,99872.041
BNS,99872.041
ABT,99507.3661
GS,99076.164
GS,99076.164
KHC,94789.44
CAT,94173.9051
MS,93820.9249
MS,93820.9249
GILD,93705.12
SLB,93263.2449
LMT,91178.2
ADBE,89149.3151
USB,88709.5127
USB,88709.5127
LLY,88683.6757
PYPL,88344
NKE,87062.57
LOW,86925.9
AXP,85307.29
AXP,85307.29
BKNG,84231.7333
WBA,83443.6935
ENB,83326.2
NFLX,83194.1203
CRM,83137.5552
BLK,82731.4544
BLK,82731.4544
ACN,80490.2333
CHTR,80128.4758
CELG,79240.548
CNI,76970.49
SBUX,76891.236
QCOM,76412.16
TMO,76201.6922
SU,75731.3655
NEE,73565.49
CVS,73515
TWX,71346.6
SCHW,69109.7562
SCHW,69109.7562
COST,68527.355
UBS,68425.4201
PNC,68249.17
PNC,68249.17
CB,67779.9163
CB,67779.9163
BIIB,67377.555
CL,65996.1905
DHR,64658.412
COP,64611.4032
BMO,64023.6553
BMO,64023.6553
NVDA,63870.3
MDLZ,63692.2208
LOW,63287.28
EOG,62423.4531
AMT,61179.7494
GD,60403.4912
AMAT,59815.8
AET,58951.452
AET,58951.452
DUK,58877
SYK,57972.096
ANTM,57621.6859
ANTM,57621.6859
GM,57386
EPD,57290.4694
ITW,56979.275
OXY,56357.6343
CRM,55960.086
CNQ,54926.7835
LVS,54861.3127
BK,54583.9861
BK,54583.9861
TMUS,54580.9386
BCE,54402.1989
RTN,54175.94
AGN,54014.116
TRP,53922.5837
AIG,53565.1011
AIG,53565.1011
SPG,53439.8206
SPG,53439.8206
NOC,53428.7343
TSLA,52554.946
BAM,52464.0586
D,52283.7
FOXA,52083.6789
MFC,51968.04
MFC,51968.04
FDX,51784.9375
MON,51518.5416
PSX,50804.6105
TJX,50441.6829
VMW,49983.431
CM,49888.3843
CM,49888.3843
F,49627.1665
CI,49547.258
